who,TEAGE,category,n,N,p,X,Y,whofct
Boss or Manager,43,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,43,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,43,Work,8,3067,0.0026084121291164004,0.02237354085603113,100,Boss or Manager
Boss or Manager,44,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,44,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,44,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,44,Work,10,3286,0.0030432136335970784,0.02237354085603113,100,Boss or Manager
Boss or Manager,45,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,45,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,45,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,45,Work,12,3019,0.003974826101358066,0.02237354085603113,100,Boss or Manager
Boss or Manager,46,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
